"Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB"
"1,C,Yasmani Grandal#,27,126,457,390,49,89,14,1,27,72,1,3,64,116,.228,.339,.477,.816,121,186,11,2,0,1,1"
"2,1B,Adrian Gonzalez*,34,156,633,568,69,162,31,0,18,90,0,2,55,117,.285,.349,.435,.784,113,247,16,4,0,6,9"
"3,2B,Chase Utley*,37,138,565,512,79,129,26,3,14,52,2,2,40,115,.252,.319,.396,.716,95,203,0,11,1,1,1"
"4,SS,Corey Seager*,22,157,687,627,105,193,40,5,26,72,3,3,54,133,.308,.365,.512,.877,137,321,12,4,0,2,5"
"5,3B,Justin Turner,31,151,622,556,79,153,34,3,27,90,4,1,48,107,.275,.339,.493,.832,124,274,16,10,0,8,1"
"6,LF,Howie Kendrick,32,146,543,487,65,124,26,2,8,40,10,2,50,96,.255,.326,.366,.691,90,178,20,3,0,3,2"
"7,CF,Joc Pederson*,24,137,476,406,64,100,26,0,25,68,6,2,63,130,.246,.352,.495,.847,129,201,5,4,1,2,4"
"8,RF,Yasiel Puig,25,104,368,334,45,88,14,2,11,45,5,2,24,74,.263,.323,.416,.740,101,139,10,7,0,3,0"
"9,OF,Trayce Thompson,25,80,262,236,31,53,11,0,13,32,5,1,26,66,.225,.302,.436,.738,99,103,3,0,0,0,0"
"10,OF,Enrique Hernandez,24,109,244,216,25,41,8,0,7,18,2,0,28,64,.190,.283,.324,.607,66,70,3,0,0,0,1"
"11,RF,Josh Reddick*,29,47,167,155,20,40,6,0,2,9,3,3,11,22,.258,.307,.335,.643,76,52,1,0,0,0,0"
"12,C,A.J. Ellis,35,53,161,139,8,27,5,0,1,13,1,1,16,24,.194,.285,.252,.537,49,35,5,2,3,1,2"
"13,OF,Andrew Toles*,24,48,115,105,19,33,9,1,3,16,1,1,8,25,.314,.365,.505,.870,135,53,1,1,0,1,2"
"14,UT,Scott Van Slyke,29,52,113,102,10,23,6,0,1,7,1,2,5,24,.225,.292,.314,.606,66,32,3,5,0,1,1"
"15,LF,Carl Crawford*,34,30,87,81,8,15,2,1,0,6,0,1,4,11,.185,.230,.235,.464,28,19,3,1,0,1,0"
"16,UT,Rob Segedin,27,40,83,73,9,17,2,1,2,12,0,0,6,22,.233,.301,.370,.671,83,27,1,2,0,2,0"
"17,UT,Charlie Culberson,27,34,68,67,6,20,3,0,1,7,1,0,1,13,.299,.309,.388,.697,90,26,2,0,0,0,0"
"18,IF,Chris Taylor,25,34,62,58,8,12,2,2,1,7,0,0,4,13,.207,.258,.362,.620,68,21,3,0,0,0,1"
"19,C,Carlos Ruiz,37,14,40,36,3,10,2,0,0,3,0,0,3,5,.278,.350,.333,.683,89,12,1,1,0,0,0"
"20,UT,Austin Barnes,26,21,37,32,3,5,1,0,0,2,0,0,5,9,.156,.270,.188,.458,29,6,0,0,0,0,0"
"21,UT,Andre Ethier*,34,16,26,24,2,5,1,0,1,2,0,0,2,6,.208,.269,.375,.644,74,9,1,0,0,0,1"
"22,OF,Will Venable*,33,12,19,18,2,1,1,0,0,0,0,0,0,5,.056,.105,.111,.216,-40,2,0,1,0,0,0"
"23,UT,Micah Johnson*,25,7,6,6,1,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-8,1,0,0,0,0,0"
"24,UT,Zach Walters#,26,3,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"25,P,Kenta Maeda,28,35,66,57,5,7,1,0,1,4,0,0,1,16,.123,.138,.193,.331,-11,11,1,0,8,0,0"
"26,P,Scott Kazmir*,32,27,50,43,3,5,0,0,0,2,0,0,1,24,.116,.136,.116,.253,-30,5,1,0,6,0,0"
"27,P,Clayton Kershaw*,28,23,50,46,2,8,1,0,0,3,0,0,1,12,.174,.191,.196,.387,7,9,0,0,3,0,0"
"28,P,Ross Stripling,26,22,27,24,2,2,0,0,0,1,0,0,2,12,.083,.154,.083,.237,-32,2,0,0,1,0,0"
"29,P,Julio Urias*,19,18,26,22,0,3,0,0,0,2,0,0,0,9,.136,.136,.136,.273,-25,3,1,0,4,0,0"
"30,P,Alex Wood,25,15,19,16,2,4,0,0,0,2,0,0,1,9,.250,.294,.250,.544,52,4,0,0,2,0,0"
"31,P,Bud Norris,31,13,16,15,1,4,0,0,0,1,0,0,0,2,.267,.267,.267,.533,47,4,0,0,1,0,0"
"32,P,Brandon McCarthy,32,10,15,13,0,0,0,0,0,1,0,0,2,6,.000,.133,.000,.133,-59,0,0,0,0,0,0"
"33,P,Rich Hill*,36,6,12,12,0,0,0,0,0,0,0,0,0,8,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"34,P,Brock Stewart*,24,7,10,10,0,1,0,0,0,0,0,0,0,7,.100,.100,.100,.200,-45,1,0,0,0,0,0"
"35,P,Mike Bolsinger,28,6,9,9,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"36,P,Jose De Leon,23,4,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"37,P,Chris Hatcher#,31,37,3,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,84,1,0,0,0,0,0"
"38,P,Brett Anderson*,28,4,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"39,P,J.P. Howell*,33,64,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"40,P,Josh Fields,30,22,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"41,P,Carlos Frias,26,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"42,P,Hyun-Jin Ryu,29,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"43,P,Nick Tepesch,27,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"44,P,Grant Dayton*,28,25,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"45,P,Pedro Baez,28,73,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0"
"46,P,Luis Avilan*,26,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"47,P,Louis Coleman,30,61,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"48,P,Chin-hui Tsao,35,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"49,P,Adam Liberatore*,29,58,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"50,P,Yimi Garcia,25,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"51,P,Kenley Jansen#,28,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"52,P,Joe Blanton,35,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"53,P,Jesse Chavez,32,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"54,P,Casey Fien,32,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"55,P,Josh Ravin,28,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"